filename,data_density,visual_encoding,text_annotation,domain_schema,color_symbol,aesthetic_order,cognitive_load,vc_score
wsj135.png,0.4,0.35,0.45,0.25,0.3,0.25,0.3,0.33
SciVisJ.1025.11.png,0.35,0.35,0.5,0.45,0.45,0.3,0.4,0.38
visMost97.png,0.2,0.3,0.35,0.2,0.4,0.15,0.15,0.23
economist_daily_chart_165.png,0.55,0.4,0.5,0.25,0.3,0.4,0.4,0.42
whoO06_2.png,0.65,0.5,0.6,0.5,0.4,0.45,0.5,0.53
InfoVisC.133.5(3).png,0.45,0.55,0.3,0.5,0.4,0.5,0.55,0.48
whoQ44_4.png,0.55,0.5,0.45,0.4,0.55,0.4,0.5,0.48
InfoVisJ.619.17.png,0.55,0.6,0.45,0.65,0.5,0.5,0.6,0.57
InfoVisJ.1558.11(3).png,0.45,0.4,0.05,0.4,0.45,0.35,0.35,0.38
wsj603.png,0.5,0.45,0.55,0.5,0.4,0.35,0.45,0.46
VisJ.1515.12.png,0.3,0.4,0.0,0.55,0.4,0.35,0.45,0.38
v483_n7391_8_f5.png,0.7,0.7,0.4,0.8,0.65,0.5,0.75,0.68
VisJ.1499.8.png,0.55,0.65,0.15,0.8,0.55,0.4,0.65,0.6
v487_n7406_7_f3.png,0.75,0.8,0.3,0.7,0.75,0.65,0.72,0.72
SciVisJ.1236.10.png,0.85,0.75,0.35,0.8,0.6,0.7,0.85,0.78
SciVisJ.2926.1.png,0.85,0.82,0.05,0.88,0.8,0.75,0.82,0.82
VisJ.1197.5(3).png,0.85,0.75,0.0,0.7,0.3,0.9,0.8,0.75
InfoVisJ.2699.12.png,0.82,0.7,0.15,0.7,0.4,0.8,0.78,0.74
SciVisJ.980.12(2).png,0.75,0.85,0.05,0.9,0.75,0.7,0.85,0.8
InfoVisJ.2402.12(1).png,0.92,0.85,0.3,0.88,0.6,0.9,0.92,0.87
VisC.503.6.png,0.15,0.2,0.2,0.25,0.15,0.1,0.15,0.18
whoQ50_2.png,0.4,0.3,0.45,0.3,0.15,0.3,0.3,0.32
InfoVisC.211.18.png,0.3,0.2,0.2,0.15,0.08,0.15,0.15,0.2
whoJ44.png,0.25,0.25,0.4,0.3,0.2,0.15,0.2,0.25
wsj340.png,0.2,0.25,0.45,0.15,0.35,0.15,0.15,0.22
InfoVisC.73.6.png,0.2,0.3,0.55,0.35,0.2,0.35,0.3,0.28
VisC.167.11.png,0.55,0.4,0.35,0.45,0.35,0.35,0.4,0.42
VASTJ.2908.2.png,0.65,0.5,0.6,0.7,0.4,0.45,0.65,0.58
economist_daily_chart_153.png,0.5,0.45,0.35,0.3,0.35,0.35,0.4,0.4
InfoVisJ.1236.13.png,0.65,0.7,0.4,0.6,0.75,0.6,0.65,0.65
InfoVisJ.1558.9.png,0.55,0.7,0.2,0.75,0.55,0.5,0.7,0.62
VisJ.1949.18(3).png,0.7,0.7,0.0,0.8,0.55,0.6,0.75,0.68
SciVisJ.822.18.png,0.45,0.4,0.2,0.5,0.45,0.3,0.45,0.42
InfoVisJ.349.1.png,0.7,0.65,0.05,0.75,0.25,0.7,0.75,0.67
VASTJ.422.7.png,0.55,0.6,0.45,0.55,0.6,0.4,0.55,0.55
VASTJ.2012.9(2).png,0.78,0.75,0.85,0.7,0.65,0.72,0.78,0.75
v488_n7412_9_f1.png,0.75,0.8,0.65,0.8,0.75,0.7,0.75,0.76
v488_n7409_12_f4.png,0.55,0.6,0.65,0.75,0.4,0.45,0.65,0.6
v488_n7409_19_f1.png,0.88,0.82,0.75,0.92,0.85,0.72,0.88,0.86
visMost573.png,0.75,0.8,0.65,0.75,0.85,0.7,0.75,0.77
VisJ.1541.1(2).png,0.8,0.7,0.1,0.75,0.5,0.7,0.7,0.7
VASTJ.1.7.png,0.82,0.85,0.05,0.85,0.65,0.7,0.8,0.78
vis734.png,0.92,0.78,0.85,0.6,0.7,0.82,0.85,0.83
VASTC.13.9.png,0.82,0.85,0.85,0.8,0.75,0.78,0.85,0.82
InfoVisC.65.5(2).png,0.85,0.75,0.05,0.8,0.15,0.85,0.9,0.78
InfoVisJ.1149.6(1).png,0.88,0.85,0.82,0.9,0.72,0.85,0.92,0.88
VisJ.1431.7.png,0.15,0.1,0.0,0.05,0.08,0.05,0.08,0.08
SciVisJ.995.5.png,0.25,0.2,0.35,0.15,0.1,0.15,0.15,0.18
VASTC.72.13.png,0.1,0.15,0.2,0.15,0.1,0.1,0.1,0.13
InfoVisJ.2412.7.png,0.02,0.05,0.08,0.03,0.08,0.02,0.03,0.04
VisC.199.5.png,0.25,0.25,0.2,0.3,0.25,0.15,0.2,0.24
whoJ40_2.png,0.1,0.15,0.4,0.15,0.2,0.1,0.1,0.15
InfoVisJ.2251.3.png,0.05,0.1,0.1,0.15,0.05,0.05,0.08,0.08
economist_daily_chart_75.png,0.25,0.2,0.35,0.15,0.15,0.15,0.15,0.2
VASTC.81.3(2).png,0.05,0.15,0.0,0.3,0.15,0.05,0.15,0.12
whoQ58_4.png,0.2,0.2,0.35,0.25,0.15,0.15,0.2,0.22
